"","entrez","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"224997",224997,2.43228880342119,-1.11650722672681,5.4338112136125,0.000144775885724244,0.00162618201704759,1.12855071184407,"Dlgap1"
"20310",20310,2.10718088496587,6.21560591056962,5.42280090716922,0.000147397110909507,0.00164447957664886,1.03030943354096,"Cxcl2"
"244886",244886,2.20992811692338,0.112296060397397,5.38710170055077,0.000156245159069437,0.00171956719633244,1.10078158889975,"Tmem266"
"110197",110197,2.39445430459064,-1.64561227421192,5.34997524314928,0.000166042308433411,0.00179965333565418,0.939814903540115,"Dgkg"
"12615",12615,2.23295530441938,2.57459571779244,5.32380517468269,0.000173335248859348,0.00184945122205153,1.118317268419,"Cenpa"
"20877",20877,3.27261447667273,2.13399698699256,5.26344190367158,0.000191471954964254,0.00197521068946153,0.862949790591165,"Aurkb"
"432995",432995,2.62171060569868,1.55411995403013,5.21760175186835,0.000206572779703861,0.00206746443412933,0.398367929907057,"Smim22"
"215384",215384,2.73431082645263,6.48547068543333,5.21025425894841,0.000209107302324885,0.00208368966326765,0.886569706913036,"Fcgbp"
"108000",108000,2.5597792441128,2.76066391224031,5.18604658506586,0.000217691418185152,0.00213729087806355,0.910144842725199,"Cenpf"
"12235",12235,3.02135566514627,2.52748209454384,5.16967165620449,0.000223707296169322,0.00218238895596294,0.846493755820718,"Bub1"
"108907",108907,2.04790796465061,2.80825316677707,5.16334308519157,0.000226078859715684,0.0021946869158149,0.880690037732796,"Nusap1"
"103172",103172,2.11633562297381,2.97891001735562,5.12451677813722,0.000241218331182595,0.00231085962581683,0.761537962014369,"Chchd10"
"21819",21819,5.16193632825946,-2.85209902018817,5.06207806180982,0.000267837033340442,0.00248465098561649,-0.486184144473331,"Tg"
"76464",76464,2.38179269797963,1.98400720784073,5.06194471643336,0.000267897069064193,0.00248465098561649,0.686228781453678,"Knl1"
"15162",15162,2.83681741432205,-0.542904406140168,5.05621376034395,0.000270490686142099,0.00250429689735778,-0.312383475891455,"Hck"
"78733",78733,2.16057536639519,0.91190532397236,5.02050569288347,0.000287255376353401,0.00261429063661506,0.50439015125206,"Troap"
"15366",15366,2.08722872435094,2.78688473924196,4.92941585572049,0.000335144895441973,0.00291922147849751,0.514138077119807,"Hmmr"
"17216",17216,2.13210915584142,4.47559116269006,4.90923375140726,0.000346845416910551,0.00299701747887061,0.37072369305184,"Mcm2"
"67849",67849,2.05504225675969,1.85165444488059,4.90387030333704,0.000350026243106702,0.00301473010981741,0.386513099142279,"Cdca5"
"12737",12737,3.26041022145588,4.27444764366981,4.8757184667252,0.000367229984891507,0.00312365540555254,0.41569352968745,"Cldn1"
"17121",17121,2.58748473619668,0.399544925848557,4.86786274191959,0.000372186934280336,0.00315391008545117,0.238494934271317,"Mxd3"
"110033",110033,2.44079245259185,2.30904414093356,4.86201521478633,0.00037592213770529,0.00318044618002913,0.398859466069487,"Kif22"
"18817",18817,2.01296344043295,1.43571706996823,4.85462983966849,0.000380695793117452,0.00320880870102838,0.351218897403082,"Plk1"
"21926",21926,2.24802022338567,3.67153696461195,4.85130256687313,0.00038286710991253,0.00321981535817835,0.386039324265139,"Tnf"
"66570",66570,2.61004380238947,1.41916086692742,4.84065849697091,0.000389900663743754,0.00325522783750549,0.217738292799642,"Cenpm"
"20510",20510,2.82430827655298,2.63858143907546,4.83076285116291,0.000396560936777381,0.00328472172160888,0.207357446500562,"Slc1a1"
"319767",319767,4.81807003847121,0.377290990797617,4.80402515708635,0.000415158582554973,0.00339209459599791,-0.757925307360395,"Atp10b"
"71740",71740,3.03170529909598,2.63154883901392,4.79536651501724,0.000421374842606123,0.00342562140563126,-0.0173911576273138,"Nectin4"
"27375",27375,2.24733429193079,3.84624100411668,4.78756323908441,0.000427060378446289,0.0034523080414144,0.282589757568083,"Tjp3"
"14793",14793,2.86981562137435,2.33782342126806,4.76310648809723,0.000445404994278177,0.00356414204028978,0.203062209864483,"Cdca3"
"16590",16590,3.71289808459694,4.19380840937049,4.74799274316731,0.000457151578725733,0.00362509962377395,0.198704843167401,"Kit"
